ID,Name,Credit,Category
1,Sarah,6185,Bills
2,Jack,8726,Travel
3,Jack,9450,Luxury
4,Han,100,Bills
5,Han,3035,Luxury
6,Jerry,5224,Travel
7,Jerry,3151,Entertainment
8,David,6218,Luxury
9,Han,494,Entertainment
10,David,9561,Bills
11,Tom,6844,Entertainment
12,Park,7894,Travel
13,Jack,6136,Luxury
14,Kim,9209,Travel
15,Sarah,8821,Luxury
16,Jane,635,Travel
17,Smith,9745,Travel
18,Kim,2608,Travel
19,Jung,7670,Grocery
20,John,7525,Grocery
21,Sarah,7614,Bills
22,Sarah,6702,Entertainment
23,Choi,3448,Bills
24,Kim,294,Grocery
25,John,2925,Bills
26,Jerry,4169,Travel
27,Sarah,1481,Bills
28,Kang,2576,Bills
29,David,5963,Grocery
30,Park,5311,Bills
31,David,8196,Luxury
32,John,7540,Travel
33,Jung,492,Entertainment
34,Park,96,Travel
35,John,708,Bills
36,Kang,7460,Travel
37,Park,5179,Luxury
38,Jung,8157,Travel
39,Kang,851,Travel
40,Kim,3661,Bills
41,Jack,2354,Entertainment
42,Jack,9437,Travel
43,Jung,4663,Grocery
44,David,60,Luxury
45,Doe,6805,Bills
46,Park,1402,Entertainment
47,Tom,5056,Travel
48,Kang,4221,Entertainment
49,Doe,5250,Entertainment
50,Kim,8973,Luxury
51,Jane,9511,Travel
52,John,2980,Entertainment
53,Jack,8645,Entertainment
54,Doe,3795,Bills
55,Jung,3082,Bills
56,Brown,4049,Luxury
57,Park,5292,Grocery
58,Kang,9136,Grocery
59,Smith,697,Luxury
60,Kim,9712,Travel
61,Doe,6292,Travel
62,Han,9974,Bills
63,Jerry,5838,Entertainment
64,Brown,1540,Luxury
65,David,5760,Luxury
66,Kang,3382,Luxury
67,Jack,7849,Entertainment
68,Kim,6267,Travel
69,Brown,1455,Travel
70,Jack,4896,Travel
71,Han,6959,Luxury
72,Park,5770,Travel
73,Kang,8047,Bills
74,Sarah,5112,Entertainment
75,Brown,4434,Travel
76,Brown,7742,Entertainment
77,Tom,472,Entertainment
78,Choi,3238,Entertainment
79,Doe,655,Grocery
80,Brown,5830,Luxury
81,Kim,5912,Grocery
82,Jung,837,Entertainment
83,Kim,8575,Bills
84,Choi,6944,Entertainment
85,Park,5084,Grocery
86,Kang,6415,Grocery
87,Choi,4357,Grocery
88,Jane,2748,Grocery
89,Kang,6965,Luxury
90,Smith,8554,Travel
91,Jack,8489,Luxury
92,Jerry,7183,Grocery
93,Brown,5676,Entertainment
94,Kim,7983,Entertainment
95,Smith,1345,Entertainment
96,Sarah,4835,Grocery
97,Kang,9662,Travel
98,Smith,3767,Bills
99,Kang,7411,Entertainment
100,Kim,2606,Grocery
101,Sarah,5819,Bills
102,Park,1664,Entertainment
103,Park,1990,Entertainment
104,John,4026,Grocery
105,Han,3801,Travel
106,Smith,5793,Bills
107,John,7042,Grocery
108,Kim,6146,Grocery
109,David,46,Travel
110,Jerry,7824,Grocery
111,Park,2607,Grocery
112,Kim,6227,Travel
113,Jung,9902,Grocery
114,Tom,1849,Travel
115,Park,1454,Entertainment
116,Han,46,Grocery
117,David,8555,Luxury
118,Choi,5625,Grocery
119,John,2295,Luxury
120,Brown,5198,Grocery
121,Smith,1593,Grocery
122,John,921,Travel
123,Han,5291,Grocery
124,Sarah,159,Travel
125,John,7110,Bills
126,Kang,9389,Entertainment
127,Kim,7448,Bills
128,Smith,1099,Entertainment
129,Han,2711,Entertainment
130,Choi,6028,Grocery
131,Sarah,9902,Grocery
132,Choi,9262,Grocery
133,Sarah,5495,Luxury
134,David,3246,Luxury
135,John,4872,Entertainment
136,Sarah,2903,Grocery
137,John,5386,Grocery
138,John,5787,Travel
139,Jerry,6054,Entertainment
140,Kim,8551,Grocery
141,Brown,6117,Entertainment
142,David,2833,Travel
143,Jung,5940,Grocery
144,Jerry,6282,Bills
145,Jane,5113,Travel
146,Tom,2467,Travel
147,Tom,2594,Bills
148,Tom,3621,Bills
149,Sarah,9637,Luxury
150,Doe,6785,Luxury
151,Jung,9702,Entertainment
152,Tom,2323,Travel
153,Choi,5106,Travel
154,Brown,1214,Entertainment
155,Jack,3144,Grocery
156,Jung,3369,Luxury
157,Han,2376,Bills
158,Doe,8252,Grocery
159,Brown,2103,Entertainment
160,Jack,5296,Grocery
161,Han,9658,Luxury
162,Jack,1309,Bills
163,Han,7066,Grocery
164,Doe,1733,Grocery
165,Jung,3968,Travel
166,Han,7543,Grocery
167,Jerry,2218,Grocery
168,Jack,9985,Bills
169,Doe,9023,Grocery
170,Park,3765,Grocery
171,Choi,3239,Bills
172,Tom,9933,Travel
173,Choi,4981,Bills
174,Han,7498,Grocery
175,Park,3285,Luxury
176,John,1098,Grocery
177,Kim,3852,Travel
178,Brown,9931,Travel
179,David,7337,Travel
180,Jane,5943,Entertainment
181,Han,5161,Entertainment
182,Park,8137,Grocery
183,John,3141,Travel
